Topic,Timestamp,Words,Frequency
3,2015,"vertebrates, vertebrate, dinosaur, dinosaurs, fossil",40
3,2016,"fin, vertebrate, tetrapods, syrinx, fossil",27
3,2017,"dinosaurs, dinosaur, gliding, fossil, jurassic",44
3,2018,"jaw, vertebrates, fossil, jurassic, dinosaur",33
3,2019,"fossil, dinosaurs, crest, vertebrates, vertebrate",41
3,2020,"dinosaur, fossil, mesozoic, pterosaurs, dinosaurs",35
3,2021,"fossil, dinosaurs, vertebrate, vertebrates, cambrian",27
3,2022,"vertebrates, jawed, fossil, dinosaurs, silurian",46
3,2023,"oceangoing, congregated, buses, birthing, ichthyosaurs",1
4,2005,"geneticists, sequencing, variation, catalogue, genome",11
4,2006,"genome, genetic, sequence, names, variation",24
4,2007,"personal, genetic, genome, genomics, genomes",32
4,2008,"personal, genome, genomics, genetic, sequencing",48
4,2009,"sequencing, genomics, genome, variants, genetic",32
4,2010,"sequencing, genetic, variants, genome, variation",47
4,2011,"genome, sequencing, genomics, svs, variants",31
4,2012,"sequencing, variants, genome, genetic, genomics",37
4,2013,"genomics, variation, genome, sequencing, genetic",33
4,2014,"variants, epistasis, genome, sequencing, genetic",22
4,2015,"variants, sequencing, variation, genetic, genome",38
4,2016,"variants, genetic, exac, genomics, exome",30
4,2017,"sequencing, genetic, variants, variation, tissues",31
4,2018,"biobank, genetics, genetic, data, project",16
4,2019,"genetic, variants, populations, genomics, sequencing",31
4,2020,"variants, sequencing, genome, genomics, pid",25
4,2021,"variants, genome, prss, topmed, sequencing",30
4,2022,"variants, genome, reference, pangenome, transcript",24
5,2005,"uncomfortably, wasatch, unleaded, geological, pinatubo",4
5,2006,"mantle, magma, peridotite, earths, volcano",19
5,2007,"mantle, earths, isotopic, continental, crust",18
5,2008,"mantle, earths, plate, costa, rica",23
5,2009,"mantle, crust, earths, volcanic, eruptions",19
5,2010,"mantle, earths, seismic, eruption, crustal",21
5,2011,"mantle, earths, volcanic, magma, plate",39
5,2012,"mantle, earths, magma, basalts, earth",30
5,2013,"mantle, earths, plate, crust, beneath",47
5,2014,"mantle, earths, olivine, plate, crust",34
5,2015,"mantle, plate, earths, uranium, volcanic",30
5,2016,"mantle, earths, core, iron, geodynamo",30
5,2017,"mantle, earths, buoyancy, earth, volcanic",30
5,2018,"mantle, earths, magma, crust, crustal",27
5,2019,"mantle, earths, plate, subduction, deep",30
5,2020,"mantle, lithosphere, earths, volcanic, subduction",26
5,2021,"mantle, plate, crust, earths, eruption",22
5,2022,"mantle, magma, eruption, earths, volcano",42
6,2005,"flores, homo, years, earliest, indonesia",10
6,2006,"neanderthal, neanderthals, modern, gibraltar, hominin",25
6,2007,"neanderthals, neanderthal, cave, radiocarbon, homo",24
6,2008,"bones, neanderthal, worshipped, cretin, buddhas",12
6,2009,"flute, flutes, 35000, cave, earliest",25
6,2010,"neanderthals, hominin, cave, humans, hominins",21
6,2011,"modern, hominin, neanderthal, acheulian, hominins",26
6,2012,"hominin, homo, neanderthals, australopithecus, africa",23
6,2013,"hominin, earliest, pottery, primate, neanderthals",26
6,2014,"neanderthal, neanderthals, modern, denisovans, hominin",26
6,2015,"homo, hominin, australopithecus, ago, years",24
6,2016,"neanderthals, cave, homo, bua, floresiensis",24
6,2017,"homo, modern, hominin, ago, jebel",27
6,2018,"neanderthals, stone, cave, neanderthal, hominin",41
6,2019,"hominin, cave, hominins, homo, denisova",50
6,2020,"dating, homo, neanderthals, cave, pottery",27
6,2021,"hominin, oldest, neanderthals, modern, ago",37
6,2022,"neanderthal, neanderthals, hominin, ago, cave",37
7,2005,"antarctic, ice, speedo, cryosat, icemonitoring",5
7,2006,"ice, antarctic, greenlands, gulf, stream",25
7,2007,"ice, antarctic, glacial, greenland, oligocene",16
7,2008,"ice, greenland, antarctic, sheet, arctic",22
7,2009,"ice, antarctic, sheet, greenland, sealevel",26
7,2010,"ice, icesheet, channelization, polar, supply",13
7,2011,"antarctic, ice, arctic, sheet, peninsula",30
7,2012,"ice, antarctic, sealevel, antarctica, icesheet",39
7,2013,"ice, greenland, sheet, antarctic, eemian",27
7,2014,"ice, antarctic, sheet, sea, greenland",26
7,2015,"ice, antarctic, sheet, greenland, sealevel",32
7,2016,"ice, sheet, antarctic, greenland, glacial",28
7,2017,"ice, antarctic, meltwater, sheet, shelf",33
7,2018,"ice, antarctic, sheet, sea, sealevel",42
7,2019,"ice, antarctic, sealevel, greenland, sea",30
7,2020,"ice, antarctic, sealevel, sheet, greenland",28
7,2021,"ice, antarctic, sheet, sealevel, glacier",23
7,2022,"ice, antarctic, greenland, sheet, thinning",19
8,2005,"forests, amazon, suck, carbon, tree",8
8,2006,"forests, rainforest, amazon, goldminers, growthbooster",6
8,2007,"forests, arid, kfi, patchsize, carbon",15
8,2008,"forests, carbon, forest, leaf, deforestation",21
8,2009,"forests, carbon, deforestation, forest, trees",28
8,2010,"forests, carbon, equations, amazon, soils",13
8,2011,"forests, carbon, forest, deforestation, co2",28
8,2012,"forest, forests, deforestation, carbon, xylem",24
8,2013,"carbon, forests, forest, tropical, vegetation",30
8,2014,"carbon, amazon, forest, forests, soil",29
8,2015,"carbon, forests, tree, trees, forest",24
8,2016,"forest, soil, carbon, forests, deforestation",22
8,2017,"carbon, amazon, forest, forests, gpp",19
8,2018,"carbon, forest, forests, soil, land",38
8,2019,"carbon, land, forest, forests, sink",26
8,2020,"carbon, forest, forests, tropical, soil",30
8,2021,"forests, carbon, forest, soil, emissions",29
8,2022,"forests, carbon, forest, tropical, trees",37
9,2006,"galaxies, star, light, universe, spinning",7
9,2007,"black, holes, miras, galaxies, galaxy",9
9,2008,"galaxies, galaxy, starforming, blown, active",7
9,2009,"galaxies, black, galaxy, universe, holes",14
9,2010,"galaxies, galaxy, universe, reionization, black",16
9,2011,"galaxy, galaxies, black, stars, hole",29
9,2012,"galaxy, galaxies, black, milky, hole",34
9,2013,"galaxies, galaxy, black, hole, starburst",35
9,2014,"galaxies, black, galaxy, hole, holes",44
9,2015,"galaxies, galaxy, stars, black, star",37
9,2016,"galaxies, galaxy, black, accretion, hole",21
9,2017,"galaxies, galaxy, black, massive, hole",18
9,2018,"galaxies, galaxy, black, stars, massive",35
9,2019,"galaxies, black, accretion, galaxy, galactic",20
9,2020,"galaxies, galaxy, gas, magellanic, black",17
9,2021,"galaxies, black, hole, galaxy, metallicity",20
9,2022,"galaxy, galaxies, black, hole, quasars",33
10,2005,"theyre, albian, heartache, perchance, graduation",8
10,2006,"happiness, joy, tyger, graduation, night",21
10,2007,"piratical, recoper, postodc, clockwatching, sabbatical",16
10,2008,"happy, happiest, happiness, singapores, man",23
10,2009,"wedding, thoughts, jealous, penance, palpable",25
10,2010,"you, price, fashion, jennas, quinquereme",22
10,2011,"flesh, girl, lyubomirsky, inculturation, ovoids",20
10,2012,"midnight, 21stcentury, communicant, aampe, tige",18
10,2013,"love, peace, heartbreaking, postcard, quis",19
10,2014,"message, sidewalk, trilby, killstealer, emancipation",22
10,2015,"man, bffs, ravelled, morts, infraction",21
10,2016,"duck, remember, time, ties, daffodil",20
10,2017,"coupon, thee, legale, sparrowfall, boughs",18
10,2018,"cerise, epluribus, unreal, time, starless",16
10,2019,"hello, start, civilized, twentysix, tetonia3",21
10,2020,"tesseract, whenever, borked, selfexpression, redemption",18
10,2021,"freemium, obsolescence, rebellions, 5755, hoist",23
10,2022,"knock, home, time, travel, physicstemporal",29
11,2005,"nuclear, uranium, bunkerbuster, partlyenriched, weaponsgrade",6
11,2006,"nuclear, chernobyl, plutonium, accident, waste",34
11,2007,"nuclear, chernobyl, nukes, warheads, radiation",21
11,2008,"nuclear, irans, reactors, articles, weapons",19
11,2009,"nuclear, reactors, obama, administration, fukushima",28
11,2010,"nuclear, weapons, reactors, fuel, uranium",24
11,2011,"fukushima, nuclear, reactors, disaster, fallout",61
11,2012,"nuclear, fukushima, weapons, reactors, radiation",38
11,2013,"nuclear, fukushima, reactors, radioisotopes, fallout",19
11,2014,"nuclear, warheads, zeroknowledge, fukushima, repository",13
11,2015,"nuclear, iran, deal, cern, radioactivity",12
11,2016,"nuclear, reactors, fukushima, weapons, radioactive",13
11,2017,"nuclear, waste, cleanup, korean, department",7
11,2018,"nuclear, woefully, unprepared, weapons, north",10
11,2019,"nuclear, fukushima, pakistan, disaster, chernobyl",9
11,2020,"nuclear, iran, devastating, weapons, lebanons",11
11,2021,"nuclear, fukushima, quasicrystals, chernobyl, reactor",13
11,2022,"nuclear, ukraine, reactors, chernobyl, power",15
12,2006,"planets, homely, lensing, neptune, definition",8
12,2007,"planet, planets, earthlike, au, star",18
12,2008,"planets, extrasolar, planet, habitable, jupiter",15
12,2009,"planets, planet, exoplanet, stars, extrasolar",14
12,2010,"planets, planet, disk, extrasolar, gj1214b",15
12,2011,"planets, planet, star, exoplanets, orbits",25
12,2012,"planets, planet, exoplanet, star, exoplanets",33
12,2013,"planets, planet, star, stars, exoplanet",32
12,2014,"planets, exoplanet, exoplanets, planet, extrasolar",27
12,2015,"planets, planet, exoplanet, star, lkca",23
12,2016,"planet, planets, orbiting, exoplanets, star",27
12,2017,"planets, planet, exoplanet, exoplanets, star",26
12,2018,"exoplanet, jupiters, planets, planet, star",29
12,2019,"planets, exoplanet, planet, disk, jupiters",15
12,2020,"planets, planet, planetary, exoplanet, flashes",14
12,2021,"planets, planet, stars, jupiter, jupiters",18
12,2022,"planets, planet, exoplanets, orbiting, disk",13
12,2023,"co2, atmospheres, micrometres, exoplanet, planets",1
13,2005,"earthquake, earthquakes, quake, tsunami, fault",12
13,2006,"tsunami, earthquake, earthquakes, fault, quake",27
13,2007,"fault, earthquake, talc, tsunami, andreas",12
13,2008,"earthquake, earthquakes, megathrust, tsunami, quake",12
13,2009,"earthquake, earthquakes, fault, tsunami, quake",18
13,2010,"earthquake, quake, haiti, earthquakes, tsunami",29
13,2011,"earthquake, fault, earthquakes, quake, slip",32
13,2012,"earthquake, earthquakes, tsunami, fault, april",25
13,2013,"earthquake, tsunami, quake, fault, earthquakes",16
13,2014,"earthquake, seismic, iquique, earthquakes, quake",28
13,2015,"earthquake, nepal, quakes, rock, earthquakes",12
13,2016,"earthquake, earthquakes, lawsonite, quake, fault",11
13,2017,"earthquake, tremor, quake, quakes, tsunami",23
13,2018,"earthquake, earthquakes, aftershocks, quake, aftershock",16
13,2019,"earthquake, earthquakes, fault, slowslip, rupture",26
13,2020,"earthquakes, earthquake, tohokuoki, subduction, gnss",4
13,2021,"earthquake, earthquakes, faults, seismicity, ruptures",12
13,2022,"tsunami, earthquake, earthquakes, eruption, hunga",18
14,2006,"atm, cohesin, dna, reca, h2ax",15
14,2007,"dna, telomeres, replication, repair, telomerase",23
14,2008,"recombination, dna, telomerase, 53bp1, ends",23
14,2009,"dna, h2ax, ssb, repair, wstf",16
14,2010,"dna, telomere, repair, zscan4, dyskeratosis",16
14,2011,"dna, replication, recombination, telomere, breaks",33
14,2012,"dna, okazaki, reca, replicative, replication",16
14,2013,"pif1, replication, dna, 53bp1, repair",23
14,2014,"repair, cohesin, uvrd, dna, recombination",16
14,2015,"replication, dna, repair, recombination, kinetochore",27
14,2016,"prdm9, telomere, dna, replication, breaks",17
14,2017,"repair, brca1bard1, 53bp1, rad51, dna",9
14,2018,"dna, 53bp1, repair, doublestrand, replication",19
14,2019,"dna, chromatin, replication, ccan, mcm",9
14,2020,"dna, recombination, chromosomes, cohesin, meiotic",22
14,2021,"dna, spo11, dsbs, telomerase, repair",22
14,2022,"dna, telomerase, replication, telomeric, repair",17
15,2005,"neuroscience, sentimental, jamboree, pianist, tbingen",4
15,2006,"brain, scans, granger, neuroscience, vegetative",13
15,2007,"brain, neuroscience, consciousness, emotion, scans",21
15,2008,"neuroscience, brain, michigan, dartmouth, meditating",15
15,2009,"brain, neuroscience, mind, neuroscientists, wolfe",22
15,2010,"neuroscience, brain, training, selimi, selfinflicted",18
15,2011,"neuroscience, brain, consciousness, philosophy, mind",18
15,2012,"neuroscience, brain, mind, christof, koch",29
15,2013,"neuroscience, brain, neuroscientists, mind, cognitive",36
15,2014,"neuroscience, brain, brains, project, brainmapping",21
15,2015,"neuroscience, brain, project, draaisma, douwe",26
15,2016,"semantic, brain, neuroscience, cerebral, neuroscientists",19
15,2017,"neuroscience, brain, neuroscientists, consciousness, perception",16
15,2018,"neuroscience, brain, consciousness, neuroscientist, chris",14
15,2019,"brain, neuroscience, birbaumer, greengard, 19252019",14
15,2020,"neuroscience, workflows, brain, teams, neuroimaging",11
15,2021,"neuroscience, mindfulness, brain, neuroscientists, boehnke",7
15,2022,"neuroscience, brain, cognitive, charts, task",15
17,2005,"stemcell, suk, hwang, woo, korean",22
17,2006,"stemcell, hwang, cloning, stem, hwangs",32
17,2007,"stemcell, senate, veto, cloning, california",26
17,2008,"stemcell, stem, patent, california, jersey",25
17,2009,"stemcell, embryonic, stem, california, hwang",31
17,2010,"stemcell, injunction, funding, federal, stem",24
17,2011,"stemcell, court, stem, patents, embryonic",24
17,2012,"stemcell, unproven, stem, therapies, company",19
17,2013,"stemcell, unproven, italian, controversial, stem",25
17,2014,"stemcell, hwang, stem, japanese, suk",26
17,2015,"stemcell, unproven, mitalipov, italian, miraculous",6
17,2016,"stemcell, 14day, 533, sheep, intensifies",10
17,2017,"stemcell, treatments, bet, coal, 401402",6
17,2018,"stemcell, rivron, formalize, robey, ethics",6
17,2019,"stemcell, unproven, clinics, therapies, employ",12
17,2020,"stemcell, sixfigure, reparations, funding, embryolike",3
17,2021,"embryos, labgrown, stemcell, 14day, embryo",7
17,2022,"invested, diseased, dollars, stemcell, pioneering",1
18,2005,"iqs, numbercrunching, bender, gender, women",2
18,2006,"women, men, gender, multiversal, uprising",7
18,2007,"women, gender, andrews, nancy, dean",11
18,2008,"women, men, sexism, female, 918",6
18,2009,"women, gender, men, widnall, womens",13
18,2010,"women, gender, female, men, stefania",13
18,2011,"women, gender, female, macho, carol",9
18,2012,"women, gender, equality, men, wikipedia",11
18,2013,"women, gender, female, equality, men",16
18,2014,"women, gender, female, men, equality",17
18,2015,"women, gender, female, men, sexism",19
18,2016,"women, gender, female, men, academies",14
18,2017,"women, gender, female, men, bias",24
18,2018,"women, gender, female, men, bias",40
18,2019,"gender, women, female, men, male",30
18,2020,"gender, women, female, equity, men",20
18,2021,"women, gender, men, female, likely",17
18,2022,"women, gender, men, female, gap",29
19,2005,"binocular, rivalry, geniculate, lgn, eyespecific",1
19,2006,"gammaband, synchronization, visual, dopamine, neurons",10
19,2007,"receptive, dopamine, basalis, cortical, neurons",6
19,2008,"visual, amygdala, reward, cortex, stimuli",12
19,2009,"neurons, cortex, visual, dopamine, motor",12
19,2010,"neurons, visual, inputs, conditioned, amygdala",13
19,2011,"cortex, visual, learning, neurons, wiring",15
19,2012,"visual, cortex, neurons, motor, activity",25
19,2013,"visual, cortex, neurons, anxiety, dopamine",18
19,2014,"visual, interneurons, motor, neurons, cortex",19
19,2015,"spines, cortex, amygdala, visual, neurons",22
19,2016,"visual, cortex, neurons, retina, sac",20
19,2017,"neurons, visual, cortex, alm, prefrontal",14
19,2018,"cortex, dopamine, direction, neurons, visual",16
19,2019,"dopamine, neurons, visual, spiking, cortex",11
19,2020,"neurons, visual, cortex, dopamine, cortical",18
19,2021,"dopamine, visual, neurons, cortex, learning",20
19,2022,"visual, sensory, neurons, cortex, activity",24
19,2023,"lc, auditory, ci, connectivity, cis",2
20,2005,"yale, chinese, china, offices, students",3
20,2006,"singapore, china, chinas, multinationals, investment",6
20,2007,"singapore, kimura, andersson, bertil, shenzhen",7
20,2008,"china, chinese, chinas, beijing, scientific",14
20,2009,"china, chinese, rampd, mingwei, highflyers",10
20,2010,"china, chinese, zhenrong, kewen, 20millionyuan",13
20,2011,"china, chinese, chinas, commercialization, ranks",18
20,2012,"china, south, chinas, peng, gong",10
20,2013,"china, gomory, worship, unemployed, lilian",4
20,2014,"china, chinese, city, chinas, shanghai",23
20,2015,"chinas, china, chinese, research, jin",24
20,2016,"china, chinese, korea, singapore, research",16
20,2017,"chinas, china, koreas, chinese, south",11
20,2018,"china, chinese, chinas, asian, research",33
20,2019,"china, chinese, chinas, road, belt",29
20,2020,"china, chinas, chinese, foreign, koreas",21
20,2021,"china, chinas, chinese, collaboration, jointventure",17
20,2022,"china, chinas, uschina, collaborations, xi",12
21,2005,"highprotein, attacked, meat, critics, advice",1
21,2006,"food, sausages, eartheaters, sieves, hotdogs",9
21,2007,"food, ren, eat, wang, agriculture",7
21,2008,"food, agricultural, crisis, agriculture, vavilov",18
21,2009,"food, farmers, agriculture, fads, crop",16
21,2010,"food, agriculture, agricultural, farming, keeton",19
21,2011,"food, agriculture, farming, hunger, agricultural",20
21,2012,"yields, food, agriculture, farming, organic",15
21,2013,"farmers, food, hunger, yields, crops",12
21,2014,"food, diets, dietary, agriculture, agricultural",11
21,2015,"agriculture, food, agricultural, farmers, farms",10
21,2016,"food, smallholder, agriculture, farming, yields",11
21,2017,"fertilizers, food, malnutrition, farming, nitrogen",7
21,2018,"food, farmers, farming, millions, hunger",17
21,2019,"food, meat, agriculture, crop, crops",15
21,2020,"food, hunger, foodsystem, diet, meat",17
21,2021,"food, supply, shocks, micronutrients, hunger",21
21,2022,"food, mp, meat, ukraine, beccs",26
22,2005,"flu, virus, tamiflu, avian, h5n1",13
22,2006,"flu, h5n1, avian, bird, influenza",43
22,2007,"flu, h5n1, virus, birdflu, bird",9
22,2008,"flu, influenza, ah1n1, avian, bird",8
22,2009,"flu, swine, h1n1, influenza, virus",40
22,2010,"flu, swine, pandemic, besser, unsubstantiated",6
22,2011,"flu, influenza, swine, virus, bird",8
22,2012,"flu, h5n1, avian, influenza, virus",43
22,2013,"h7n9, flu, avian, influenza, virus",27
22,2014,"flu, influenza, avian, strains, fitness",12
22,2015,"influenza, viruses, flu, sialic, ah1n1",5
22,2017,"flu, calidris, bird, 494495, dunlin",3
22,2018,"flu, virus, robs, wrapper, reinstatement",4
22,2019,"flu, swine, snipers, pig, virus",7
22,2020,"pigs, flu, influenza, virus, pig",4
22,2021,"swine, fluoride, fever, borneos, supplemental",3
22,2022,"flu, bird, influenza, virus, avian",8
23,2005,"quantum, einstein, sanity, factual, mechanics",5
23,2006,"computers, web, quantum, computer, gurus",6
23,2007,"quantum, mechanics, bb84, cryptography, realism",14
23,2008,"quantum, weirdness, physicists, string, classical",10
23,2009,"spooky, quantum, leak, trickle, strangest",5
23,2010,"quantum, cryptography, encryption, mechanics, randomness",9
23,2011,"quantum, computing, computers, silicon, physics",12
23,2012,"teleportation, quantum, freespace, 143, feedforward",9
23,2013,"quantum, untrusted, cryptography, command, classical",16
23,2014,"quantum, contextuality, computing, physics, classical",17
23,2015,"quantum, bell, teleportation, deutsch, encryption",10
23,2016,"quantum, computer, randomness, optimization, computers",15
23,2017,"quantum, computers, computer, machine, cryptography",28
23,2018,"quantum, bell, randomness, randomnumber, qkd",24
23,2019,"quantum, scrambling, computing, computers, supremacy",19
23,2020,"quantum, qkd, computer, cryptography, entanglementbased",13
23,2021,"quantum, real, computing, theory, numbers",13
23,2022,"quantum, pqc, cryptography, algorithms, security",13
24,2005,"tamoxifen, pax2, endometrial, endometrium, oestrogen",2
24,2006,"cancer, validation, drug, metastases, validated",4
24,2007,"breast, cancer, snps, mesenchymal, metastatic",9
24,2008,"cancer, tamoxifen, breast, cancers, pax2",7
24,2009,"fusions, cancer, boy, scl45a3elk4, chinnaiyan",6
24,2010,"cancer, mutations, somatic, heteroplasmic, tumour",9
24,2011,"cancer, ovarian, tumours, pbrm1, serous",10
24,2012,"breast, cancer, tumours, cancers, genomic",25
24,2013,"cancer, tumours, ovarian, mutations, breast",25
24,2014,"cancer, tumours, genes, predisposition, mutated",15
24,2015,"emt, breast, cancer, er, pr",15
24,2016,"breast, cancer, tumours, her2, proline",11
24,2017,"oesophageal, adenocarcinomas, cancer, cancers, breast",23
24,2018,"cancer, emt, tumours, breast, cancers",20
24,2019,"breast, metastatic, cancer, cancers, tumours",14
24,2020,"cancer, mutational, mutations, driver, pcawg",14
24,2021,"fitness, cancer, ovarian, tumours, timeseries",8
24,2022,"cancer, apobec3, mutational, breast, cancers",17
24,2023,"expansions, rres, repeat, rre, tr",1
25,2006,"bodys, killer, infectious, grapples, corrective",5
25,2007,"carabin, calcineurin, ras, erp5, tcr",4
25,2009,"antigens, materials, immunobiology, immunomodulation, adjuvants",2
25,2010,"anxiously, await, arm, shot, decision",1
25,2011,"blitz, immunotherapy, marketing, patchwork, receives",3
25,2012,"immunoediting, melanocytic, cytotoxic, antigens, tumours",4
25,2013,"immune, brakes, immunotherapies, cancer, removing",10
25,2014,"immunotherapy, ppp2r2d, mpdl3280a, tumour, cancer",15
25,2015,"antitumour, dendritic, cancer, immune, tumour",16
25,2016,"immunotherapy, 3utr, potassium, tumour, pdl1",11
25,2017,"immunotherapy, tumour, pd1, tcell, tumours",36
25,2018,"tumour, immune, immunotherapy, car, cd8",23
25,2019,"immunotherapy, cd8, tumour, tumours, antitumour",28
25,2020,"immunotherapy, checkpoint, cd8, tumour, immune",19
25,2021,"tumour, immune, cd8, blockade, antitumour",25
25,2022,"car, tumour, immunotherapy, nivolumab, tumours",28
25,2023,"circadian, dcs, immunosurveillance, antitumour, nonviral",2
26,2007,"wireless, assume, assessing, grows, epidemic",1
26,2008,"ebola, saphire, ollmann, erica, weaknesses",2
26,2009,"ebola, labs, philippine, rooting, rating",3
26,2010,"haiti, tightens, escalating, grip, grampositive",2
26,2011,"ebola, npc1, c1, niemannpick, cholera",6
26,2012,"cholera, ebola, outbreak, haiti, ugandan",6
26,2014,"ebola, outbreak, west, epidemic, zmapp",62
26,2015,"ebola, epidemic, outbreak, west, virus",41
26,2016,"ebola, virus, epidemic, outbreak, guinea",22
26,2017,"ebola, outbreak, epidemic, congo, cholera",14
26,2018,"ebola, outbreak, republic, democratic, congo",14
26,2019,"ebola, republic, democratic, congo, outbreak",38
26,2020,"ebola, outbreak, republic, democratic, congo",6
26,2021,"ebola, survivors, ebov, outbreak, virus",8
26,2022,"ebola, uganda, outbreak, drc, liberia",5
27,2005,"endangered, conservation, odlingsmee, law, biodiversity",4
27,2006,"biodiversity, conservation, mccauley, marketbased, sake",8
27,2007,"conservation, biodiversity, marris, emma, tapirs",9
27,2008,"conservation, biodiversity, endangered, biocultural, ecosystems",13
27,2009,"biodiversity, conservation, conservationists, ecosystems, marris",16
27,2010,"biodiversity, conservation, protected, areas, ecosystems",23
27,2011,"parks, biodiversity, conservation, divides, endangered",10
27,2012,"biodiversity, threats, conservation, commodities, international",11
27,2013,"conservation, biodiversity, ecology, conservationists, weigh",9
27,2014,"biodiversity, conservation, protected, landuse, internationally",14
27,2015,"biodiversity, saiga, conservation, protecting, local",5
27,2016,"biodiversity, conservation, parks, wildlife, bulldozers",9
27,2017,"conservation, biodiversity, protected, spending, areas",13
27,2018,"biodiversity, conservation, paints, ecosystems, governance",6
27,2019,"biodiversity, wilderness, conservation, areas, habitat",7
27,2020,"biodiversity, conservation, protected, areas, wilderness",14
27,2021,"biodiversity, invasions, monetary, editor, costs",17
27,2022,"biodiversity, conservation, protected, ecosystems, ecosystem",31
28,2005,"correction, 438, hwang, 2005, snchez",2
28,2006,"2006101038440972a, 972, 960, onecell, 440",2
28,2008,"reads, 729731, sasidharan, technology14, gerstein",1
28,2009,"10591060, boil, fat, shipman, obtained",1
28,2011,"credited, unadkat, hemant, braille, 478",1
28,2012,"correction, paper, reference, author, 2012",6
28,2013,"286287, ipscell, kobe, correction, 2013",2
28,2014,"versions, omitted, muozespn, 3536, campisi",2
28,2015,"409411, livercancer, hedda, wardemann, correction",2
28,2016,"correction, implied, 2016, paper, author",6
28,2017,"correction, equally, author, article, paper",3
28,2018,"author, correction, corrected, amendment, paper",32
28,2019,"author, paper, amendment, correction, accessed",58
28,2020,"paper, amendment, accessed, published, author",60
28,2021,"correction, published, paper, author, publisher",37
