Title,Abstract,Published Date
On the Hydrodynamic Boundary Condition for Superfluid Flow,"We discuss the hydrodynamic boundary condition for a superfluid moving
tangentially to a rough surface. Specifically, we argue that the scattering of
quantum fluctuations off surface roughness affects the nature of the boundary
condition, and that this has important consequences including a new theorized
critical speed and the presence of normal fluid at any nonzero speed, even if
the boundary is held at zero temperature. This hydrodynamic boundary condition
is relevant not only for superfluid helium experiments but also for experiments
with trapped dilute Bose-Einstein condensates, in particular those involving
atomic waveguides near surfaces.",2007-02-28T02:50:34Z
The Geminga Fraction,"Radio-quiet gamma-ray pulsars like Geminga may account for a number of the
unidentified EGRET sources in the Galaxy. The number of Geminga-like pulsars is
very sensitive to the geometry of both the gamma-ray and radio beams. Recent
studies of the shape and polarization of pulse profiles of young radio pulsars
have provided evidence that their radio emission originates in wide cone beams
at altitudes that are a significant fraction (1 -10%) of their light cylinder
radius. Such wide radio emission beams will be visible at a much larger range
of observer angles than the narrow core components thought to originate at
lower altitude. Using 3D geometrical modeling that includes relativistic
effects from pulsar rotation, we study the visibility of such radio cone beams
as well as that of the gamma-ray beams predicted by slot gap and outer gap
models. From the results of this study one can obtain revised predictions for
the fraction of Geminga-like, radio quiet pulsars present in the gamma-ray
pulsar population.",2007-03-01T16:14:23Z
"Correlation effects in partially ionized mass asymmetric electron-hole
  plasmas","The effects of strong Coulomb correlations in dense three-dimensional
electron-hole plasmas are studied by means of unbiased direct path integral
Monte Carlo simulations. The formation and dissociation of bound states, such
as excitons and bi-excitons is analyzed and the density-temperature region of
their appearance is identified. At high density, the Mott transition to the
fully ionized metallic state (electron-hole liquid) is detected. Particular
attention is paid to the influence of the hole to electron mass ratio $M$ on
the properties of the plasma. Above a critical value of about M=80 formation of
a hole Coulomb crystal was recently verified [Phys. Rev. Lett. {\bf 95}, 235006
(2005)] which is supported by additional results. Results are related to the
excitonic phase diagram of intermediate valent Tm[Se,Te], where large values of
$M$ have been observed experimentally.",2007-02-02T17:37:17Z
"Phenomenological theory of phase transitions in epitaxial BaTiO3 thin
  films","We develop a phenomenological thermodynamic theory of ferroelectric BaTiO3
(BT) thin films epitaxially grown on cubic substrates using the
Landau-Devonshire eight-order potential. The constructed ""misfit-temperature""
phase diagram is asymmetrical. We found that, overall view of the phase diagram
depends on the values of compliances used in calculations and provide two
qualitatively different diagrams. A thermodynamic path for BT film grown onto
particular substrate can be found using a plot of the room-temperature
tetragonal distortion (c-a)/a as a function of misfit strain.",2007-03-16T13:46:17Z
"Valence bond solids for SU(n) spin chains: exact models, spinon
  confinement, and the Haldane gap","To begin with, we introduce several exact models for SU(3) spin chains: (1) a
translationally invariant parent Hamiltonian involving four-site interactions
for the trimer chain, with a three-fold degenerate ground state. We provide
numerical evidence that the elementary excitations of this model transform
under representation 3bar of SU(3) if the original spins of the model transform
under rep. 3. (2) a family of parent Hamiltonians for valence bond solids of
SU(3) chains with spin reps. 6, 10, and 8 on each lattice site. We argue that
of these three models, only the latter two exhibit spinon confinement and hence
a Haldane gap in the excitation spectrum. We generalize some of our models to
SU(n). Finally, we use the emerging rules for the construction of VBS states to
argue that models of antiferromagnetic chains of SU(n) spins in general possess
a Haldane gap if the spins transform under a representation corresponding to a
Young tableau consisting of a number of boxes \lambda which is divisible by n.
If \lambda and n have no common divisor, the spin chain will support deconfined
spinons and not exhibit a Haldane gap. If \lambda and n have a common divisor
different from n, it will depend on the specifics of the model including the
range of the interaction.",2007-02-19T17:13:52Z
Holonomic constraints : an analytical result,"Systems subjected to holonomic constraints follow quite complicated dynamics
that could not be described easily with Hamiltonian or Lagrangian dynamics. The
influence of holonomic constraints in equations of motions is taken into
account by using Lagrange multipliers. Finding the value of the Lagrange
multipliers allows to compute the forces induced by the constraints and
therefore, to integrate the equations of motions of the system. Computing
analytically the Lagrange multipliers for a constrained system may be a
difficult task that is depending on the complexity of systems. For complex
systems, it is most of the time impossible to achieve. In computer simulations,
some algorithms using iterative procedures estimate numerically Lagrange
multipliers or constraint forces by correcting the unconstrained trajectory. In
this work, we provide an analytical computation of the Lagrange multipliers for
a set of linear holonomic constraints with an arbitrary number of bonds of
constant length. In the appendix of the paper, one would find explicit formulas
for Lagrange multipliers for systems having 1, 2, 3, 4 and 5 bonds of constant
length, linearly connected.",2007-01-10T19:25:45Z
"Bergmann-Thomson energy-momentum complex for solutions more general than
  the Kerr-Schild class","In a very well-known paper, Virbhadra's research group proved that the
Weinberg, Papapetrou, Landau and Lifshitz, and Einstein energy-momentum
complexes ``coincide'' for all metrics of Kerr-Schild class. A few years later,
Virbhadra clarified that this ``coincidence'' in fact holds for metrics more
general than the Kerr-Schild class. In the present paper, this study is
extended for the Bergmann-Thomson complex and it is proved that this complex
also ``coincides'' with those complexes for a more general than the Kerr-Schild
class metric.",2007-02-12T15:21:41Z
"A variational analysis of Einstein-scalar field Lichnerowicz equations
  on compact Riemannian manifolds","We establish new existence and non-existence results for positive solutions
of the Einstein-scalar field Lichnerowicz equation on compact manifolds. This
equation arises from the Hamiltonian constraint equation for the
Einstein-scalar field system in general relativity. Our analysis introduces
variational techniques, in the form of the mountain pass lemma, to the analysis
of the Hamiltonian constraint equation, which has been previously studied by
other methods.",2007-02-05T22:35:23Z
Satisfying assignments of Random Boolean CSP: Clusters and Overlaps,"The distribution of overlaps of solutions of a random CSP is an indicator of
the overall geometry of its solution space. For random $k$-SAT, nonrigorous
methods from Statistical Physics support the validity of the ``one step replica
symmetry breaking'' approach. Some of these predictions were rigorously
confirmed in \cite{cond-mat/0504070/prl} \cite{cond-mat/0506053}. There it is
proved that the overlap distribution of random $k$-SAT, $k\geq 9$, has
discontinuous support. Furthermore, Achlioptas and Ricci-Tersenghi proved that,
for random $k$-SAT, $k\geq 8$. and constraint densities close enough to the
phase transition there exists an exponential number of clusters of satisfying
assignments; moreover, the distance between satisfying assignments in different
clusters is linear.
  We aim to understand the structural properties of random CSP that lead to
solution clustering. To this end, we prove two results on the cluster structure
of solutions for binary CSP under the random model from Molloy (STOC 2002)
  1. For all constraint sets $S$ (described explicitly in Creignou and Daude
(2004), Istrate (2005)) s.t. $SAT(S)$ has a sharp threshold and all $q\in
(0,1]$, $q$-overlap-$SAT(S)$ has a sharp threshold (i.e. the first step of the
approach in Mora et al. works in all nontrivial cases). 2. For any constraint
density value $c<1$, the set of solutions of a random instance of 2-SAT form,
w.h.p., a single cluster. Also, for and any $q\in (0,1]$ such an instance has
w.h.p. two satisfying assignment of overlap $\sim q$. Thus, as expected from
Statistical Physics predictions, the second step of the approach in Mora et al.
fails for 2-SAT.",2007-03-13T15:45:08Z
On the Stability of a class of Modified Gravitational Models,"Motivated by the dark energy issue, a minisuperspace approach to the
stability for modified gravitational models in a four dimensional cosmological
setting are investigated. Specifically, after revisiting the $f(R)$ case, $R$
being the Ricci curvature, we present a stability condition around a de Sitter
solution valid for modified gravitational models of generalized Gauss-Bonnet
type $F(R,G,Q)$, $G$ and $Q$ being the Gauss-Bonnet and quadratic Riemann
invariants respectively. A generalization to higher order invariants is
mentioned.",2007-01-25T10:03:35Z
Spin-dependent Rotating Wigner Molecules in Quantum dots,"The spin-dependent trial wave functions with rotational symmetry are
introduced to describe rotating Wigner molecular states with spin degree of
freedom in four- and five-electron quantum dots under magnetic fields. The
functions are constructed with unrestricted Hartree-Fock orbits and projection
technique in long-range interaction limit. They highly overlap with the
exact-diagonalized ones and give the accurate energies in strong fields. The
zero points, i.e. vortices of the functions have straightforward relations to
the angular momenta of the states. The functions with different total spins
automatically satisfy the angular momentum transition rules with the increase
of magnetic fields and explicitly show magnetic couplings and characteristic
oscillations with respect to the angular momenta. Based on the functions, it is
demonstrated that the entanglement entropies of electrons depend on the
z-component of total spin and rise with the increase of angular momenta.",2007-02-10T10:49:06Z
Scaling theory of transport in complex networks,"Transport is an important function in many network systems and understanding
its behavior on biological, social, and technological networks is crucial for a
wide range of applications. However, it is a property that is not
well-understood in these systems and this is probably due to the lack of a
general theoretical framework. Here, based on the finding that renormalization
can be applied to bio-networks, we develop a scaling theory of transport in
self-similar networks. We demonstrate the networks invariance under length
scale renormalization and we show that the problem of transport can be
characterized in terms of a set of critical exponents. The scaling theory
allows us to determine the influence of the modular structure on transport. We
also generalize our theory by presenting and verifying scaling arguments for
the dependence of transport on microscopic features, such as the degree of the
nodes and the distance between them. Using transport concepts such as diffusion
and resistance we exploit this invariance and we are able to explain, based on
the topology of the network, recent experimental results on the broad flow
distribution in metabolic networks.",2007-02-06T16:28:12Z
"A Simplified Suspension Calculus and its Relationship to Other Explicit
  Substitution Calculi","This paper concerns the explicit treatment of substitutions in the lambda
calculus. One of its contributions is the simplification and rationalization of
the suspension calculus that embodies such a treatment. The earlier version of
this calculus provides a cumbersome encoding of substitution composition, an
operation that is important to the efficient realization of reduction. This
encoding is simplified here, resulting in a treatment that is easy to use
directly in applications. The rationalization consists of the elimination of a
practically inconsequential flexibility in the unravelling of substitutions
that has the inadvertent side effect of losing contextual information in terms;
the modified calculus now has a structure that naturally supports logical
analyses, such as ones related to the assignment of types, over lambda terms.
The overall calculus is shown to have pleasing theoretical properties such as a
strongly terminating sub-calculus for substitution and confluence even in the
presence of term meta variables that are accorded a grafting interpretation.
Another contribution of the paper is the identification of a broad set of
properties that are desirable for explicit substitution calculi to support and
a classification of a variety of proposed systems based on these. The
suspension calculus is used as a tool in this study. In particular, mappings
are described between it and the other calculi towards understanding the
characteristics of the latter.",2007-02-26T02:16:57Z
Spin transverse force and quantum transverse transport,"We present a brief review on spin transverse force, which exerts on the spin
as the electron is moving in an electric field. This force, analogue to the
Lorentz force on electron charge, is perpendicular to the electric field and
spin current carried by the electron. The force stems from the spin-orbit
coupling of electrons as a relativistic quantum effect, and could be used to
understand the Zitterbewegung of electron wave packet and the quantum
transverse transport of electron in a heuristic way.",2007-03-08T04:22:10Z
"Large Magnetoresistance in Co/Ni/Co Ferromagnetic Single Electron
  Transistors","We report on magnetotransport investigations of nano-scaled ferromagnetic
Co/Ni/Co single electron transistors. As a result of reduced size, the devices
exhibit single electron transistor characteristics at 4.2K. Magnetotransport
measurements carried out at 1.8K reveal tunneling magnetoresistance (TMR)
traces with negative coercive fields, which we interpret in terms of a
switching mechanism driven by the shape anisotropy of the central wire-like Ni
island. A large TMR of about 18% is observed within a finite source-drain bias
regime. The TMR decreases rapidly with increasing bias, which we tentatively
attribute to excitation of magnons in the central island.",2007-02-15T17:07:10Z
"Information Loss as a Foundational Principle for the Second Law of
  Thermodynamics","In a previous paper [1] we considered the question, ""What underlying property
of nature is responsible for the second law?"" A simple answer can be stated in
terms of information: The fundamental loss of information gives rise to the
second law. This line of thinking highlights the existence of two independent
but coupled sets of laws: Information dynamics and energy dynamics. The
distinction helps shed light on certain foundational questions in statistical
mechanics. For example, the confusion surrounding previous ""derivations"" of the
second law from energy dynamics can be resolved by noting that such derivations
incorporate one or more assumptions that correspond to the loss of information.
In this paper we further develop and explore the perspective in which the
second law is fundamentally a law of information dynamics.",2007-03-09T01:39:57Z
"Anomalous field effect and glassy behaviour in granular aluminium thin
  films: electron glass?","We present a study of non-equilibrium phenomena observed in the electrical
conductance of insulating granular aluminium thin films. An anomalous field
effect and its slow relaxation are studied in some detail. The phenomenology is
very similar to the one already observed in indium oxide. The origin of the
phenomena is discussed. In granular systems, the present experiments can
naturally be interpreted along two different lines. One relies on a slow
polarisation in the dielectric surrounding the metallic islands. The other one
relies on a purely electronic mechanism: the formation of an electron Coulomb
glass in the granular metal. More selective experiments and/or quantitative
predictions about the Coulomb glass properties are still needed to definitely
distinguish between the two scenarii.",2007-01-23T17:19:54Z
"Renormalized charge in a two-dimensional model of colloidal suspension
  from hypernetted chain approach","The renormalized charge of a simple two-dimensional model of colloidal
suspension was determined by solving the hypernetted chain approximation and
Ornstein-Zernike equations. At the infinite dilution limit, the asymptotic
behavior of the correlations functions is used to define the effective
interactions between the components of the system and these effective
interactions were compared to those derived from the Poisson-Boltzmann theory.
The results we obtained show that, in contrast to the mean-field theory, the
renormalized charge does not saturate, but exhibits a maximum value and then
decays monotonically as the bare charge increases. The results also suggest
that beyond the counterion layer near to the macroion surface, the ionic cloud
is not a diffuse layer which can be handled by means of the linearized theory,
as the two-state model claims, but a more complex structure is settled by the
correlations between microions.",2007-02-02T21:17:19Z
"Electronic structure of epitaxial graphene layers on SiC: effect of the
  substrate","Recent transport measurements on thin graphite films grown on SiC show large
coherence lengths and anomalous integer quantum Hall effects expected for
isolated graphene sheets. This is the case eventhough the layer-substrate
epitaxy of these films implies a strong interface bond that should induce
perturbations in the graphene electronic structure. Our DFT calculations
confirm this strong substrate-graphite bond in the first adsorbed carbon layer
that prevents any graphitic electronic properties for this layer. However, the
graphitic nature of the film is recovered by the second and third absorbed
layers. This effect is seen in both the (0001)and $(000\bar{1})$ 4H SiC
surfaces. We also present evidence of a charge transfer that depends on the
interface geometry. It causes the graphene to be doped and gives rise to a gap
opening at the Dirac point after 3 carbon layers are deposited in agreement
with recent ARPES experiments (T.Ohta et al, Science {\bf 313} (2006) 951).",2007-02-13T15:59:36Z
"Nanoscale Smoothing and the Analysis of Interfacial Charge and Dipolar
  Densities","The interface properties of interest in multilayers include interfacial
charge densities, dipole densities, band offsets, and screening-lengths, among
others. Most such properties are inaccesible to direct measurements, but are
key to understanding the physics of the multilayers. They are contained within
first-principles electronic structure computations but are buried within the
vast amount of quantitative information those computations generate. Thus far,
they have been extracted from the numerical data by heuristic nanosmoothing
procedures which do not necessarily provide results independent of the
smoothing process. In the present paper we develop the theory of nanosmoothing,
establishing procedures for both unpolarized and polarized systems which yield
interfacial charge and dipole densities and band offsets invariant to the
details of the smoothing procedures when the criteria we have established are
met. We show also that dipolar charge densities, i. e. the densities of charge
transferred across the interface, and screening lengths are not invariant. We
illustrate our procedure with a toy model in which real, transversely averaged
charge densities are replaced by sums of Gaussians.",2007-01-08T13:50:56Z
"""Waterfalls"" phenomenon in superconducting cuprates","We show that the ""waterfalls"", as reported in recent ARPES studies on HTSC,
can neither be described as a part of a self-consistent quasiparticle spectrum
nor represent a new physical phenomena, namely the ""new energy scale"". They
stem from the critical suppression of the photoemission intensity along the
Brillouin zone (BZ) diagonals. Our arguments, however, do not question the
existence of the high-energy scale itself (~ 0.25 eV), which is a simple
consequence of the renormalization maximum and has been explained earlier in
terms of coupling to a continuum of bosonic excitations. Moreover, when the
matrix-elements are taken into account, it becomes clear that the photoemission
spectrum consists of two components: one represents the spectrum of
one-particle excitations and the other, having a grid-like structure along the
bonding directions in the BZ, is of yet unknown origin.",2007-03-08T19:42:29Z
"A microscopically-based, global landscape perspective on slow dynamics
  in condensed matter","A complete understanding of the precipitous onset of slow dynamics in systems
such as supercooled liquids requires making direct connections between dynamics
and the underlying potential energy landscape. With the aid of a switch in
ensembles, we show that it is possible to formulate a landscape-based mechanism
for the onset of slow dynamics based on the rapid lengthening of the geodesic
paths that traverse the landscape. We confirm the usefulness of this purely
geometric analysis by showing that it successfully predicts the diffusion
constants of a standard model supercooled liquid.",2007-02-08T14:34:08Z
"An analytic expression for the electronic correlation term of the
  kinetic functional","We propose an analytic formula for the non-local Fisher information
functional, or electronic kinetic correlation term, appearing in the expression
of the kinetic density functional. Such an explicit formula is constructed on
the basis of well-founded physical arguments and a rigorous mathematical
prescription.",2007-01-16T14:17:04Z
Thermal Spin-Transfer Torques in Magnetoelectronic Devices,"We predict that the magnetization direction of a ferromagnet can be reversed
by the spin-transfer torque accompanying spin-polarized thermoelectric heat
currents. We illustrate the concept by applying a finite-element theory of
thermoelectric transport in disordered magnetoelectronic circuits and devices
to metallic spin valves. When thermalization is not complete, a spin heat
accumulation vector is found in the normal metal spacer, i.e., a directional
imbalance in the temperature of majority and minority spins.",2007-01-09T06:44:58Z
Quantum vortices in optical lattices,"A vortex in a superfluid gas inside an optical lattice can behave as a
massive particle moving in a periodic potential and exhibiting quantum
properties. In this Letter we discuss these properties and show that the
excitation of vortex motions in a two-dimensional lattice can lead to striking
measurable changes in its dynamic response. It would be possible by means of
Bragg spectroscopy to carry out the first direct measurement of the effective
vortex mass, the pinning to the underlying lattice, and the dissipative
damping.",2007-01-18T09:50:52Z
"Fabrication, optical characterization and modeling of strained
  core-shell nanowires","Strained nanowires with varying InAs/InP core-shell thicknesses were grown
using Chemical Beam Epitaxy. Microphotoluminescence spectroscopy, performed at
low temperature, was then used to study the optical properties of single wires.
Emission from the InAs core was observed and its dependence on the shell
thickness/core diameter ratio was investigated. We found that it is possible to
tune the emission energy towards 0.8 eV by controlling this ratio. We have
compared the measured energies with calculated energies. Our findings are
consistent with the wires having a hexagonal crystal structure.",2007-01-04T18:48:27Z
Keck spectroscopy of z=1-3 ULIRGs from the Spitzer SWIRE survey,"(Abridged) High-redshift ultra luminous infrared galaxies contribute the bulk
of the cosmic IR background and are the best candidates for very massive
galaxies in formation at z>1.5. We present Keck/LRIS optical spectroscopy of 35
z>1.4 luminous IR galaxies in the Spitzer Wide-area Infra-Red Extragalactic
survey (SWIRE) northern fields (Lockman Hole, ELAIS-N1, ELAIS-N2). The primary
targets belong to the ``IR-peak'' class of galaxies, having the 1.6 micron
(restframe) stellar feature detected in the IRAC Spitzer channels.The spectral
energy distributions of the main targets are thoroughly analyzed, by means of
spectro-photometric synthesis and multi-component fits (stars + starburst dust
+ AGN torus). The IR-peak selection technique is confirmed to successfully
select objects above z=1.4, though some of the observed sources lie at lower
redshift than expected. Among the 16 galaxies with spectroscopic redshift, 62%
host an AGN component, two thirds being type-1 and one third type-2 objects.
The selection, limited to r'<24.5, is likely biased to optically-bright AGNs.
The SEDs of non-AGN IR-peakers resemble those of starbursts (SFR=20-500
Msun/yr) hosted in massive (M>1e11 Msun) galaxies. The presence of an AGN
component provides a plausible explanation for the spectroscopic/photometric
redshift discrepancies, as the torus produces an apparent shift of the peak to
longer wavelengths. These sources are analyzed in IRAC and optical-IR color
spaces. In addition to the IR-peak galaxies, we present redshifts and spectral
properties for 150 objects, out of a total of 301 sources on slits.",2007-03-09T18:47:34Z
"Superposition of Quantum and Classical Rotational Motions in Sc2C2@C84
  Fullerite","The superposition of the quantum rotational motion (tunneling) of the
encapsulated Sc2C2 complex with the classical rotational motion of the
surrounding C84 molecule in a powder crystal of Sc2C2@C84 fullerite is
investigated by theory. Since the quantum rotor is dragged along by the C84
molecule, any detection method which couples to the quantum rotor (in casu the
C2 bond of the Sc2C2 complex also probes the thermally excited classical motion
(uniaxial rotational diffusion and stochastic meroaxial jumps) of the
surrounding fullerene. The dynamic rotation-rotation response functions in
frequency space are obtained as convolutions of quantum and classical dynamic
correlation functions. The corresponding Raman scattering laws are derived, the
overall shape of the spectra and the width of the resonance lines are studied
as functions of temperature. The results of the theory are confronted with
experimental low-frequency Raman spectra on powder crystals of Sc2C2@C84 [M.
Krause et al., Phys. Rev. Lett. 93, 137403 (2004)]. The agreement of theory
with experiment is very satisfactory in a broad temperature range.",2007-02-26T13:30:46Z
Maximum Entropy in the framework of Algebraic Statistics: A First Step,"Algebraic statistics is a recently evolving field, where one would treat
statistical models as algebraic objects and thereby use tools from
computational commutative algebra and algebraic geometry in the analysis and
computation of statistical models. In this approach, calculation of parameters
of statistical models amounts to solving set of polynomial equations in several
variables, for which one can use celebrated Grobner bases theory. Owing to the
important role of information theory in statistics, this paper as a first step,
explores the possibility of describing maximum and minimum entropy (ME) models
in the framework of algebraic statistics. We show that ME-models are toric
models (a class of algebraic statistical models) when the constraint functions
(that provide the information about the underlying random variable) are integer
valued functions, and the set of statistical models that results from
ME-methods are indeed an affine variety.",2007-01-18T15:23:29Z
Condensation in zero-range processes on inhomogeneous networks,"We investigate the role of inhomogeneities in zero-range processes in
condensation dynamics.We consider the dynamics of balls hopping between nodes
of a network, and find that the condensation is triggered by the ratio k_1/k of
the highest degree k_1 to the average degree k. Although the condensate takes
on the average an extensive number of balls, its occupation can oscillate in a
wide range. We show that in systems with strong inhomogeneity, the typical
melting time of the condensate grows exponentially with the number of balls.",2007-03-09T10:57:28Z
